小米SU7 #小米su7 #小米汽车
看来奇瑞星途星纪元ES稳了[灵光一闪]就看奇瑞的服务与营销怎么样了，20W出头就配制了空悬，这你受得了嘛[呲牙][呲牙] 96166684940 孤烟贝勒 广西
给你物理按键了你又说语音也能搞定[what] 3744576762 九方杂言 天津
震哥真实评测，对想买车的很有参考价值。 68201873534 程序员阿东大哥 中国香港
给你一说，价值马上丢了9万了 58648204304 沙沙的雨2 广东
身边小米前圈层运营员工，我猜是市场部seeding震哥，只送一台车，但是发布会后价值远低于之前说的价格，而且不是顶配。胡乱猜测哈 18017213177 Kid160074225 上海
这车小米要是送你，你就另一种说法了[大笑]，当初你们合作挺好的[呲牙] 4130237179253479 极速海浪 辽宁
感觉是带着负面情绪做的评测[捂脸] 50380316990 HH1017 上海
陈老师比较客观[赞] 993592048370695 MM载歌去远行 山东
除了外观像保时捷之外，其实就是一款中规中矩的电动车 2924334784457564 峰回路转阿峰哥 江苏
人家没说什么难听的呀 5476742780 醉了醉了了 安徽
[玫瑰] 5957334060 洒脱冰淇淋Ic 重庆
吃相难看，说的还不如威马 93296388579 善良At12345 浙江
对产品期待挺大，失望挺大的感觉[我想静静] 1902493932 爱看新闻F联播的人 内蒙古
沙发啊 34826520892232 热心鲸鱼pI 浙江
没给你充值嘛？至于这样？ 91634019534 众泰皮尺部皮尺工程师 海南
点评比较实在 66955096437 胖子想瘦却瘦不下来 湖北
你说的就是科学，人家设计的就是不科学？ 93296388579 善良At12345 浙江
有几个方面：第一我觉得车机语音操控家居，和家里小爱音箱操控家居没啥问题啊，有没有可能是给那种只买了小米汽车和智能家居但是就是不用小米手机的人准备的第二语音控制有时候效率真的很低，或者有时候不想说话呢，实体按钮就是很方便效率高啊，新能源的那些触屏车机用着不恶心吗，调个空调还得点进去好几集菜单，有的语音助手出bug的时候就有点智障了，如果从传统燃油车的视角看就没有问题，只是个电动化的传统跑车[狗头] 2387729602842699 让wo发会儿呆 上海
很勉强，说的很勉强 92831917741 有花堪折直须10101010 湖北
你别来不信 5739932998 小川先生 江苏
等Redmi汽车 927594228496348 异乡房客 广东
我不是米粉，也不会买这台车。但昨晚确实看了发布会，视频看到一半我感觉雷军给陈震的充值一定没满足他[灵光一闪][看] 4209359052090247 阿木文旅 湖北
国产帕梅好样的[大笑] 6844356039 波涛汹涌不是涛 广东
说得没毛病，就是感觉没平时精神[大笑] 51212990011 洛克塔11 重庆
这个哥们，不知道小米哪得罪他了，情绪明显啊 13592839393 徐帅39 北京
这个款式颜色增高端大气，太喜欢了。好好看，小米车就是棒 1348482176136672 清桃叶 江西
给了800想称赞感觉钱不到位 想贬低 但又收了钱 6003350242 三角无双 广东
车整体不错。为啥不给双层玻璃和流媒体后视镜，不理解…… 20831491231 和饼干赛跑 北京
不用这样吧？就说对比特斯拉model 3和保时捷 Taycan是不是领先？ 3496048377990179 爱猪的潜水羊 浙江
听说不是谈崩了了嘛[捂脸] 51629670899 makeyoumine 山东
30万已经不错了。。就是车标有点。。。 1132414745 阿Sir 山西
你就说值不值这个价 73993559310 顺风顺水囍囍囍 内蒙古
最后总结:钱给少了 1195872406735789 小河里的白鲫鱼 上海
哑巴怎么办 语音都不能用 60563146971 老楊簰 上海
车评人是不是人手送一辆吧[捂脸] 1710490679513566 优美喜鹊qu 辽宁
这你受得了吗？ 3727258776 川流不息24643023 福建
只知道吧啦吧啦别人的车，有本事自己造车我就服你 734062022243844 隐士cium 福建
客观，你知道客观有多重要吗？点赞。 2933087987053564 skj空军 北京
不错、真正的测评人 2933087987053564 skj空军 北京
智能化给足了现在人们的出行使用，科技感满满 1538972112139752 迷恋直播 浙江
我要一千。j:有点狠了吧，最多给你100。你这个人好坏，居然只给100你受得了吗？你给我等了。 5770399431 记忆的灰烬 福建
客观，还得震哥 3349995251 北羽異 河北
陈震实话实说，不想其他人拿了钱就无脑吹 5955154605 友稻理 辽宁
 6861404925 世界五百强CEO 吉林
你的审美像史，那个轮毂本来就很好看你说一般[黑脸] 2519706085635011 吃蛋糕不吃香蕉1 山东
说的挺好，小米肯定不会待见你了[捂脸]， 4384482775808366 小超DaD 山东
非常委婉 3911196931 陈露露cll 湖北
说的很客观 100716411855 天空之城46953 浙江
估计小米公关黑钱了 105316774942 散牛259 贵州
这二十几万的车，就不要拿一些功能同保时捷和大G去做比较了吧[捂脸] 1178763099 DT研磨 河南
难为用了3年的小米产品 3713883619 言若到处逛 内蒙古
雷子没给到位啊[呲牙]，不懂事，太小看我们震哥的带货能力啦[捂脸] 76785746193 伍子浩在的 广东
小米很好 还是买m7 4408348299 不会带娃的超级奶爸 河南
这个轮毂和我的xrv轮毂一样[笑哭][笑哭][笑哭][笑哭]，一瞬间觉得不好看了 6000388723 无拘无束的东东电影 新疆
情绪化太严重了[捂脸] 107922631199 风轻云淡 河南
中肯的评价！雷军，小米虽然搞科技的！但是搞车后，所有车企都有的利弊想法都有了，不单纯了！ 66651291238 路过5708 上海
你是不是要求太高了 这哪是测评30万的车啊？ 这么强的情绪 根本不适合做车评人 5515117542 隔壁卖瓜的小王 湖南
只有性价比，没有让人焕然一新的亮点 1182702712927139 沅澧山珍 湖南
你越黑卖的越好，你气不气[看] 25743081414 Godisfree 青海
👏绝了绝了 102026877094 在困难的日子里前行 安徽
就觉得座椅好像还不错 其他so so 11815021605 魔鬼胡安AA 宁夏
整体的软件和硬件的适配，差评。。许多厂家都比小米做的好多了，小米这辆显得好低级啊[捂脸][捂脸] 52287589705 西门儿吹牛8866 沙特阿拉伯
震哥，买了游艇⛵，看不上小米了 20126770270 DanielHe525 北京
隔音真差 2175807514 chenjianwei117 广东
体验一级棒🤙 20126770270 DanielHe525 北京
哎呀，你受得了吗 99891085336 时传祥接班人 山东
小米没给你钱吗[呲牙][呲牙][呲牙] 52929054905 天蝎之钩 新疆
小米汽车SU7外观漂亮，颜色好看性价比高，惊喜不断支持支持支持支持 3149450846934781 高贵可乐 广东
小米SU7的内外饰配置顶级，充满了豪华感和现代科技感，超喜欢 2331422571370868 梦幻白云UOK 广东
主要是驾驶感受，能达到一半的保时捷驾驶感受吗？ 5246093491 寻龙夺宝记 山西
特明显了[捂脸] 93170569526 约一夏 江西
呵呵😊明显茅台没喝到位… 5548616903 菈覀佤風 甘肃
凑合开吧！做手机的做汽车不就是花里胡哨吗[大笑] 2238242845362148 博学风筝NB 北京
相信小米汽车会让每一位用户享受到科技的乐趣和美好的生活 2331422571370868 梦幻白云UOK 广东
说的很好 99891085336 时传祥接班人 山东
哈哈 震哥这个视频明显是吃了不要面的牛肉面的早餐拍的 3896265783128600 瑜丹东 辽宁
？？？？这个评测 挺无语的 充值没到位 心里不舒服 挑刺 又不能直接黑 情绪化太明显了 5399118871 王丶思聪 浙江
这款颜色太上镜了吧，真好看 4233550191399467 不吃鱼的加菲猫 内蒙古
不是米粉 但看了前面几分钟 感觉明显有黑的意思 98075020817 牛牛牛牛把握节奏 江苏
你知晓下就可以了，已经说明一切[机智] 4409495661320684 屠龙少年，终变龙 广东
小米没给钱？[捂脸][捂脸][捂脸] 106658261273 单纯辰星uzi 北京
隔音比较运动不好理解，没来过运动车悉尼。自动驾驶没华为激进是啥意思，没华为的只能化高？ 1904288414 无聊的逛逛的快乐生活 山东
这样测评会成功的引起务实大佬的注意小伙子够心机啊 哈哈 6216926197 石头121212 上海
他是华为系的！虽然谈小米还是再给问界加持[捂脸] 5808035663 大方的小方 广东
震哥评测必须相信，我不是米粉 看来没戏了 5953595181 wzyong 北京
这后排还是算了吧 518622252377416 子北的春天 广东
发布会上没提他，是不是心里很不爽 63550610689 自在黑暗森林 陕西
一看就是小米钱给少了[灵光一闪] 44415773837342 天府多多 四川
雷总终于让我们看到了一款全智能高科技的电车。[比心] 43573921453982 欢快明月 湖北
屏蔽和减少小米内容也没用，四五天必给你推一条 51445498539 50年退休老干部 山东
[祈祷] 2339359203802157 用户7497100069892 广东
这次小米是真没充值啊！ 52312383994 噗噗通通 湖北
我猜真的只是为了拿通告费，实际是真不会喜欢这种车，对吧。 6325349960 龙五讲科技 上海
没有终身质保，就是没有，扯什么别的车终身质保有要求。这车仔细看看配置，没什么让人心动的，不要被雷式营销忽悠。这是卖车不是卖手机！手机没几个钱，消费者可能会冲动消费，大部分人理性买车的。一家老牌车企发布新车，理性消费者都会等半年，看看车的销量和品质，更何况一家从来没造车经验的手机厂生产的组装车，理性的你不等他第二辆，第三辆车？ 69479711632 蔡爸 上海
时代的精英，冲冲冲... 109143377982 推开门塔姆 浙江
对，运动 104244852088 数学班的Kevin 河南
真的服了有些网友了，真的不懂你们为什么要喷苏7⃣️，一路走来不容易，你不买，他不买，难道让我买？[狗头][狗头] 110030686494 一叶一飘零 广东
就这点钱，我顶多吹一宿[狗头] 5880270837 自导自演那懵然的心动 山西
🌺花赐好运气 4496680310 雨露麓秀 云南
有没有一种可能有些摄像头它会自动上传到特定服务器去。 51069982717 小圣贤庄爱追剧 广西
看完，给少了。 6325710908 孙悟空派来的夏天 广西
感觉空间确实不大 50287321961 kevinbaba 上海
小米只给了手机钱[大笑] 101825055784 风萧萧兮0617 广东
众泰汽车听说过气了 3536499490170932 金哥看农牧 内蒙古
你敢瞎说，小心雷总找人干死你[捂脸][捂脸][捂脸] 96864957623 不吃辣的肖峰 湖北
震哥入了吗[赞] 6073703732 天使宝宝770 辽宁
评价太主观了 3679583055 绿色的buff 广东
看了对su7的介绍，觉得还是很到位的，但从智能方面也是全方位，续航也没的说，是值得选购的。[赞] 55053096889 春曰融融 黑龙江
不是跟小米闹翻了吗？ 96864957623 不吃辣的肖峰 湖北
这后视镜碰一下，是不是就得更换，还是传统后视镜好！ 5991017130 一往无前988 陕西
1、方向盘两个圆按键左右对称看起来是不好看，有点刻意区分保时捷的设计；2、车窗玻璃不是双层确实路噪大隔音不好；3、中央扶手水杯架旁边一排类似于换挡按键确实多余，功能性重复，设计很刻意；陈震的评价很客观啊，没觉得是诋毁小米，一个产品要经得起使用，虚心接受建议并改善方可走的长远。 22690946359 一刀入魂 河南
小米牛逼，发明了汽车工业[呲牙] 77667929207 牛马般的走卒 江苏
好东西都一句带过，这就不用说了，杂七杂八往死里说。。。哎，十三少啊 17769698091 积木李丶 陕西
发布会隆重举行，雷总发表了激情演讲，SU7价格已经公布，期待热消。[赞][赞] 2861386078884939 伤心椰子A 广东
关于实体按键，这种选配模式不是更适合您这样的人吗？之前试驾类似的车说不喜欢都是虚拟或者语音，人家给您配件选择，多人性化！太双标了！！！[苦瓜][苦瓜][苦瓜] 4142548969600327 KONI彤彤彤 山东
真实续航多少？ 102746229773 利可共享不可独吞 江苏
明显充值不到位，充值震，震不动 610944411772155 潇洒小团团 四川
现在也就看看你出差了，与往常车评相比，太针对了 109457100804 和小巍一起读书看剧 江西
方向盘太丑，实体按键多余 55971864460 David148490985 山东
💗疯狂比心 59921758905 宝哥201478825 广西
看着真的空间很窄啊 62985133428 😁😃😄🙃🙄 广西
 3736388842 Kris_Chan 广西
喜欢陈震的人设！说自己实际感受！有个性！牛B 51948874911 Joseph隽 广东
20万。。。这车对于普通百姓很可以，颜值够有面，续航够足，智驾够好，足够了 17769698091 积木李丶 陕西
满脸的嫌弃，这样不好[大笑] 74875749372 小马哥437 湖北
很明显，陈震是以自己的视角去评车，小米是以普通消费者的视角去造车，就说那温度和风量的调节实体键，我个人是非常喜欢，简洁又高效，我开车一点都不喜欢语音控制，感觉嘴喊着累，而且后排经常有家人睡觉，我更不想语音操作空调吵醒家人，陈震同学毕竟是豪车一堆的人，普通人没法比 61308369851 马什么梅鸭 北京
钱收得太明显了 71747054192 白日幻想家0 湖北
雷哥忘打钱了吧。。。。 61785646230 长翅膀飞呀飞 宁夏
小米SU7标准版定价21.59万元，小米SU7 Pro定价24.59万元，小米SU7 Max定价29.99万，小米汽车太优秀了 108157403762 瓜卜喜欢樱花 上海
陈振开车玩手机 109661886682 浙AD钙奶 浙江
带着情绪 70806075874252 辅助都是爷 河北
不累吗[捂脸] 8448042804 回忆与我都不爱说话 贵州
小米 su7 真漂亮！国产车现在真是越来越好了！[赞] 433657342343364 麦小姐 重庆
吹毛求疵 70806075874252 辅助都是爷 河北
呵呵，这味不对啊？ 5841668041 巴蜀剑锋 四川
看来雷总把钱没给到位 2963896340856365 陕西省十大杰出青年 陕西
小米汽车正式发布，真的很佩服雷军！首先，这次发布会非常成功，继续加油。 4160992260922396 栀忆 重庆
小米汽车高质量，高配置，价格合理，是一台不错的智能车。支持小米。 4160992260922396 栀忆 重庆
转发了 2260231532842094 善良花猫wFg 
方向盘多的那俩键对称，比单独一个不对称的都算是问题了[捂脸] 3220207699 ni是我一辈子的执着啊 河南
20万买奔驰c我理解 20万买x1 i3我理解 20万买台山寨保时捷被人问候 我图啥 我没那么高尚屏蔽别人疑问 3656661280 包包超人 广东
造车时候没也不向震哥咨询一下 4111762127 谁家餒小谁 北京
这个车完成度百分之几 76139022167 弯道超车86 重庆
家里，办公室，小米的产品非常多。扫地机器人，自动洗手液，冰箱，电动工具等等，所以我也算忠实的小米用户。用过两台小米的手机，用过一台小米打印机。都是很快就淘汰了。质量真不敢恭维。小几千的东西，试错也就试了，无所谓。车嘛，还没到买辆试试那种程度。所以，还是再观望一下吧[捂脸] 50939249632 二黍翡翠 广东
陈老师这一期节目怎么回事？ 这车轿跑定位调校、2.78s加速，你谈舒适？ 73111711230 Harry的趣生活 江苏
没有座椅按摩可惜了 3328939513364263 我确实不是吴彦祖 内蒙古
开车不让玩手机 81695384187 FREEMAN679 北京
真的是有点山寨，是设计和操作的确山寨。我觉得比mega还难看 1736819412834076 爱数码的JW 广西
为了私心，没有用心！我与闫闯一样，讨厌此人！ 110907337885 远山寒客 广东
这才是真实评测 8448042804 回忆与我都不爱说话 贵州
这车没终身质保，就是放任黄牛去下单。 111364237333 自燃元 四川
不能说不好，只能委婉的说不太好[笑哭] 4405317420 海岛的诚成 海南
明显钱收少了，雷军是要收获一部分苹果手机用户，一部分苹果用户家里有小米电器，这样就能通过车子操控，请问苹果手机有小爱同学吗？难道买小米汽车得人手一部小米手机？瞎闹 716537503421550 老夫Li 四川
 6127735778 三环路诗人 四川
你这个态度雷子一分没给吧 61694653373 平凡之路1734370 山东
车无完车。 感觉可以适合自己就买 111012450532 mc小小慧 黑龙江
震哥，真的抱歉，小米汽车让你无话可说。说白了，就是很普通很普通的新能源车，定位摆在那里。但发布会上说的那些东西其实就是很普通很普通的技术。 1736819412834076 爱数码的JW 广西
我还记得他当年喷byd混动，狂赞普锐斯的那段时光。。。。 135933629045527 风间仁1593 山东
震哥果然实在，基本感觉就是：其它跟蔚小理差不多，但我啥好东西没见过？你这肋骨托啥的，配置跟G500比，差点儿意思… 86109660681 老爱踢牛919 北京
打心眼里没瞧得起吧 135933629045527 风间仁1593 山东
多少有点不开心 135933629045527 风间仁1593 山东
我觉得震哥说的这几点真的很真实，尤其是那几个物理按键没利用好，还有就是车和家的互动还是存在点欠缺。震哥测评很实在！[赞] 3662837135 0o金灶沐o0 北京
小米汽车，能有多好 53592147429 Bitchan 浙江
粗制滥造出来的[呲牙] 5813581152 66145277 安徽
之前觉得你挺好，小米这次把你咋了？这些功能手机能弄，可在一个平台通用了不好？ 1812068556 白色黑涩 河南
后座小板凳，太矮了 52925410544 清闲的溪水Cd 四川
太智能不会用[捂脸][捂脸] 103181167146 张小敬 北京
中规中矩，说的比较贴切，没有情绪化 1380629708301392 敏锐清泉d6 河北
本来觉得你说车挺好，结果你这状态，看来也不能全信。 135933629045527 风间仁1593 山东
小米的加入让电车市场卷的更厉害了，之前不看好，现在突然感觉小米不会输 4032325270 腰圍二尺八 河北
我要买威马 109395886057 奋发钢笔oM 吉林
我在家手机用的少，基本指令都是对着小爱音箱说的。比如开关个什么灯，问个天气，甚至时间。还有经常让音箱找我的手机。 51650716701 高压危险kiki 宁夏
小米su7的发布会圆满成功，这价格大出乎意料了，相信小米汽车一定会大卖 111477486314 美丽 河南
？ 105145885838 虫儿虫儿虫儿 北京
好久没看陈震讲车了。陈震就是以前的二环十三郎吧。好像听过这哥们讲的江淮瑞风s5，现在开的就是这车。感觉讲的挺好。有意思。 73451052816 忆往昔2050 北京
震哥，威马汽车怎么样 5538291022 倔楞的耍耍 河北
没请动物园说车？那会下不了地的。那你受得了。 2458139541636043 蒋竟城户身矮嘴臭 湖南
很好啊，这个小米，续航700多公里，颜值这么高，我是很喜欢的 2557877473771899 飞扬漫心 四川
无私评论模式[赞] 50221211989 小嘀嗒爸爸噢 浙江
汉语是世界上最完美的语言，看似完美的美，通过表达能让你感觉很不舒服但也不能把讨厌表达出来，好美。 65960123670 大兵士珍 北京
技术是重中之重，雷总说的很有道理[赞]小米汽车值得拥有大家的喜爱！ 111477486314 美丽 云南
这片尾是什么歌？ 4446233330 听听小小 重庆
看着一点也不大气，太小了 2792128108 马真礼1988 吉林
这个数据很牛逼吗？可笑 3880729059 一叶知秋99955 天津
“你们知晓就可以了”起码说了七八遍 不作评价的意思？ 9945790900 红羽尊蓝 江苏
欲言又止的感觉[捂脸]，给句痛快话，这车到底咋样？值不值这个价？ 92930663499 23得6 湖北
这你受得了么？确实受不了[捂脸] 440232945386584 盖乌斯尤里乌斯 上海
比较中肯的评价 6263575568 阳光83887691 四川
钱是不是没到位。。。 101251922631 bf7997 北京
这国没收到钱，开始各种阴阳怪气的 93787216551 东方红七号07 广东
厉害厉害 3668438740374766 缪先生. 马拉维
最怕的就是大屏里的小字，最怕友商定义美好，真实有效的词，我米降档使用[捂脸] 1437806114907662 洗澡牛肉汤 广西
2024年，小米汽车的配置和内饰和智驾对比其他新势力真的不出彩。继续关注小米汽车，几年后在看。 1150031594 最爱海蓝色 北京
感觉还在库里南的情绪中 哇哈哈 5810915375 白雨 北京
说真的我觉得你们都太小看震哥了；这次小米营销这么炸裂，你要是再接着吹那就没流量了，反正小米需要的也是曝光，震哥这么一说流量拉满，双赢！ 101537016920 爱生活的Bean 上海
直接说吧 需要小米充多少？ 3171457702 liubin9 湖北
突然想到一个恐怖的问题，普通人操控这么大马力的车，万一万一踩错了，太可怕了吧…把性能车下放到所有普通人都能开，真的好吗 64968787913 躺平的灌汤包 北京
哑巴咋弄？ 3157419560810679 天涯悟道 福建
和之前视频比觉得有失水准了，感觉带着一些情绪 95403436384 无敌的面条 天津
小米汽车的5大核心技术：电驱、电池、大压铸、智能座舱、智能驾驶领域都是领先，大卖应该是没问题 1904794940486308 转呼啦圈的榕树 北京
就问售后怎么样？都是割韭菜，组装商，[大笑] 2458112662969287 路过你的回忆 浙江
蕾蕾是出了名的扣[大笑]你看他占公司多少股份 2537296049738483 噢吉他之神 北京
最后的背景音乐是什么名字呀 2035945679881038 毒舌美少妇 广东
一语中的 104395413576 东京时尚模特走秀 浙江
小米汽车的价格更加亲民，为消费者提供了物超所值的购车体验。[赞] 4341337499381431 花絮 广西
这个后视镜一定会出问题。 4459214328576381 乾乾之子 河南
是不是每个人就给了800[捂脸] 5999908799 洛子霂 广东
评价很中肯 4155794194178861 牛牛20200224 湖南
雷总确实牛逼，先不说车能不能卖的好，但在我心里已经封神了！[赞] 101537016920 爱生活的Bean 上海
👍一针见血 6173834409 翻跟头的筋斗云 北京
给少了 5739221734 德彪故事馆 山东
良心雷哥。这次车评比较客观 5571458267 爽朗的浅沫 陕西
省流:你了解一下就OK了 6671099086 兔子镇的小狐狸 河北
小米汽车就是不错，高颜值，高配置，新能源汽车，而且价格也很不错，很亲民，值得信赖[赞][赞] 4173392405870296 幽默自在的花好月圆 黑龙江
哈哈，千呼万唤始出来，终于迎来小米的上市，一看就好赞，喜欢[爱慕] 2167858541630372 聪颖奶酪F 四川
[赞][赞][赞][赞][赞][赞] 2397392573836336 认真的灰太狼 河北
振哥我说实话发布会视频就等着你那句 这你受得了么？ 不知道为啥最后找了你死对头韩路。我又去看了韩路视频，他的基本上都是业务上的视频，可能小米觉得你需要再专精点。 2922932402400712 哈哈哈789 河南
[狗头]明显钱给的不是很到位 108425748997 OK波克 山东
全球第一款智商鉴定车…隐藏式门把手专利，鹅卵石后视镜专利，车载手机架专利，16.8亿种驾驶模式[捂脸]每天开一种要开400多万年。 92443423279 壹木肆水324 黑龙江
实话实说，屏幕真丑 6109762643 弃叶随风 广东
我上次试驾反过来的时候 手表落里面了怎么办 99163329503 朋雨 河南
车里面装米家确实挺傻的，车是家的延伸，并不是家的一部分，没必要硬联，除非你有更有创意的连接方式。 1965516672213716 真不懂这个啥啊 河南
转发了 3632395161179688 得意的德彪 
👍一针见血 5863817970 姓平名川 陕西
小米汽车真是销售的太好了，发布会很成功，很给力，小米汽车的销售会越来越好，支持小米。 99455587500 小样儿贺 重庆
[比心] 5818421922 丸子爸养成记 湖北
🌹妙笔生花 5365852700 Kundc 浙江
好像不太想说好话的样子呀，哈哈 96904020757 国家高低杠一级运动员 江苏
震哥这小米是给钱少了还是友商给的太多了？[捂脸] 53241162791 法国铸铁锅staub 北京
賊邪乎的后视镜[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸] 99163329503 朋雨 河南
价格确实是我们没有想到的，感谢雷总让我们有机会拥有这个好开的车，非常喜欢小米汽车。 1049406198259940 孤芳 重庆
@雷军 雷总怎么看？ 106033944895 技术架构 广东
可能觉得小米山寨有点恶心，不想评[捂脸][捂脸] 78648559361 生活啊啊喂 河南
呵呵。。。。我们卖小米最少也是按斤卖，小米买小米却是论粒儿卖。不到半小时卖五万辆？少吹两个零雷传志会死吗？！ 111122661730 半日难闲 广东
小米汽车这次发布会，一开场就订单暴涨，足以见得大家对他的喜爱了，喜欢小米，支持小米 3888293236452910 陌陌爱上班 辽宁
土 4147394872 CaptainFrankLee 天津
凉凉了 99385367126 牛牛益 江苏
做工不错 4393667275 汴京崛起 西藏
就喜欢这种说缺点的 57047486641 肉食小強 广东
只给800路费，没充值气急败坏了 109739867489 吉吉豆豆 湖北
就这颜色，这外观，这配置简直就是绝了。 88806855937 玲玲 重庆
666 3406715040832628 分秒必争浓浓 江苏
啊？？？？？ 5536004822 热情的山丘Lt 上海
按键启动，为了安全也要保留。感觉您的想法有一些……[捂脸] 57993801583 天书扬 山东
感觉车好小[泪奔] 6602874241 深圳有温度 广东
小米汽车如同一个优雅的舞者，在公路上翩跹起舞！它不仅拥有丰富的内在美和独特魅力，还能带给我们震撼与惊喜！加油！ 1629917528986435 阿远的科技生活 广西
千呼万唤的小米汽车终于上市了，好喜欢霞光紫！ 3736553232797923 心欢故人 重庆
这颜色回头率太高了，支持小米 1185686256626570 微微凉 四川
蓝色还是真漂亮，我喜欢，支持小米 2181902699605886 富足旭日 辽宁
车里语音比你手机有逼格。这你受得了吗？ 63837974337 条子哥sRae 四川
十三郎还是当年的陈震！就是 现在视频出的少了。 4443347174 Time等等我 河北
全程吐槽[捂脸][捂脸] 6485612214 52359876213sayhi 山东
🌹好花迎好运 6691583957 沪上打工人 上海
一脸嫌弃[呲牙] 3104614047559351 狗布哩扯蛋 广西
轮毂真难看 93472432300 元如（轻钢龙骨） 河北
功能越多，故障率越高。 61923213024 贫道从东土大唐而来 江苏
这个颜色我爱了，我特别喜欢这个颜色颜色好，配置好就连轮毂都那么漂亮，爱了，爱了。 88806855937 玲玲 重庆
轮毂全黑的才好看 77737283671 啦啦队加油 福建
能不能评点好话交个朋友？[捂脸] 6956195122 糖泡饭顺其自然 上海
小米上线的订单量说明一切了 7009958106976 轻风吹雪 四川
这是没得到狗粮？[捂脸][捂脸][捂脸][捂脸] 63549415754 Z文韬武略Z 河南
见解独到 250324359581491 万年老猿 北京
哇塞 看到这小米的车超帅 超级的好看 喜欢 喜欢 2016984697168521 雨恬 江西
震哥怎么和m9比较呢 70830903037455 诗意圆月0x 山西
[呲牙] 72925401277 星月聪 山东
真是呵呵了 3749115945 半知公子 陕西
👍说得对 98620534365 龙大锅 广东
各花入各眼，个人还是喜欢小米su7的，支持小米汽车 81362255013 阿郑说故事 辽宁
震哥已经很含蓄了[捂脸] 3882806284 活的是种心态 山东
似乎到处都是山寨味呀 64021210547 星光在逃 湖南
看得出来 陈震对小米汽车不感兴趣 3865502466706500 lomengg 陕西
不是很开心啊 2159031975163949 38号性能杠精控 河北
有点东西的，但是同样的东西用不同的情绪说，能说出来不同的效果，所以，也有点情绪的[大笑]别的不多说 88690146899 东东锵233 江苏
看了你评价小米汽车，突然不喜欢你了 101654217959 岚画 新疆
小米汽车太智能化了！值得我们所有人喜欢 2269020041268413 小五嘟嘟猫 四川
确实小米汽车的颜值漂亮，配置性能高，我喜欢紫色的[爱慕] 73040132843352 简单船帆 海南
陈震之所以在车评界有影响力，就是因为他是如实客观的表达自己的观点，能让消费者在买车之前作为有价值的参考。[赞] 5804461948 不要到处释放魅力 广东
米总造车的时候没请震哥过去参谋参谋？你看现在都是毛病[奸笑] 3882806284 活的是种心态 山东
震哥 说实话哈，小米SU7真的像你说的这么不堪吗？[看]你要是觉得因为利益！完全可以不测，小米的这个配置放别的品牌上 你应该不会这么说吧！ 4036263284 倚楼听风雨0215 天津
小米=垃圾智商税 106880280239 乖巧饭团lI8 上海
雷军：你认为我有给你充值的需要吗？车震同学 237109849372832 GreenLeaf 广东
春至来好运通过昨天的发布会感觉小米收割了不少粉丝呀[呲牙] 97112942784 沾了糖霜的小猫咪 山东
看完了，不是那种无脑吹，还是比较中肯的[赞]是站在实际用车场景的角度来评价的[ok] 1028796588752957 自处实习室 陕西
🌸春花报好运 101622934737 珞珞的日常生活 河北
闹情绪？ 106023185855 川渝2哥 四川
说得已经很含蓄了[赞] 102631275842 法拉机 浙江
真的是服了有些网友了，真的不懂你们为什么要喷小米su7，小米历时三年投入巨量人力物力研发小米汽车，并真全栈自研9100吨压铸机，一路走来并不容易，这样的小米su7，你不买，他不买，难道让我买？？？ 2933092001262979 风马牛齐聚 云南
小偷汽车[呲牙] 58805256235 诺崽最帅 广东
感觉他对这车评价不高 1085963777096451 大丸子大啊 新疆
但是震哥说的还是很实在的 84367547607 七里香1106 江苏
看到这个评测一点信心没了[捂脸] 103329983597 自由学无涯 山东
背景音乐是什么鬼 4424034044873756 一位默默无名的朋友 浙江
这哥们蹭流量的 4244578206490088 诗意可乐aX 四川
20几万的车是用小米手机开的车吗？十万左右还差不多 75238286733 黑布林大李子甜不 江苏
[赞] 97095152756 RS阿空 安徽
看着这款海湾蓝色，高端大气上档次，看一眼就爱上了[大笑][大笑][大笑] 4134594497741886 包翠华 黑龙江
后排靠背太立了 5757698045 空山华发 内蒙古
怎么说了，钱肯定是没有收到[捂脸] 6208138979 自由散漫的小陈 福建
小米汽车的崛起势不可挡，未来可期！ 100872215448 小帆帆😊😊 广东
个人喜好而已 106023185855 川渝2哥 四川
这个腿托在哪里？那个大腿这样放不累吗？ 3245378288499159 有没有名字可以注册嘛 重庆
纯属挑刺。这次不够客观，主观太强 3632406436774024 黑猫警长爱吃三文鱼 江苏
吹毛求疵，过了啊！[击掌][击掌] 1534569763045995 三宇众通 山东
🍀好运如花开 4487811813 黄桃罐头的罐头瓶子 湖北
👏感谢分享 106039816220 科技这词都用烂了 河南
小米汽车外观简约大气 内饰时尚高级 爱了[比心] 73040132843352 简单船帆 海南
做成掀背 50401648922 你是我的眼007 山东
实话实说，没啥问题，不管怎样我喜欢但是没有钱 3236618222703688 耶律属鸡 广东
挺好，今年也算过过瘾了 109083245985 查你350 上海
换一个镜子多少钱？ 108794906170 智者圆月q1 江苏
收了极氪的钱而已，吉利真上火了 8407658797422 正义凛然水滴o2D 广东
明显的满满嫌弃啊 4251369394 好学花猫rN 福建
看了昨天的发布会，对小米SU7好心动呀 3582689256154656 巴蒂 湖北
你受得了吗[呲牙] 5815678099 crazyANT 辽宁
太到位了 2023515143823437 英明果断风筝J4 广东
